"uuid";"sendervat";"sendername";"recipientvat";"recipientname";"documentid";"issuedate";"receiveddate"
"ea49cefd-a675-407b-bd75-e91ad71de7ee";"IT00155400351";"CDD S.P.A.";"IT00882800212";"ASPIAG SERVICE S.R.L.";"00205/V1";"2019-01-19 00:00:00";"2019-01-22 08:48:30"
"eabdcbbc-9ba8-4500-9033-57e5dc50aa2b";"IT00155400351";"CDD S.P.A.";"IT02416840235";"SPESA INTELLIGENTE S.P.A. (OLBIA)";"00413/V1";"2019-01-29 00:00:00";"2019-02-01 17:52:29"
"eafb8135-773b-4f1a-a80b-23e0541e1ece";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00074/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:11"
"eb0cbc8b-4583-40ab-bd7f-ee42e9313efd";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00176/V1";"2019-01-19 00:00:00";"2019-01-22 08:48:44"
"eb2cfb3a-cf6d-4100-b551-2d44e43908b6";"IT00155400351";"CDD S.P.A.";"IT03320960374";"CONAD SOC.COOP.";"00789/V1";"2019-02-15 00:00:00";"2019-02-19 10:50:02"
"eb78c178-b345-4ee9-9397-801f38b3faf5";"IT00155400351";"CDD S.P.A.";"IT12683790153";"GS S.P.A.";"00095/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:10"
"eb99ea12-7049-4b1a-86ad-6b8af7462d61";"IT00155400351";"CDD S.P.A.";"IT02891660165";"BICOM S.R.L.";"00003/V4";"2019-01-07 00:00:00";"2019-01-14 18:10:03"
"eba913e4-c726-4373-a4c2-cc362b3a7e1c";"IT00155400351";"CDD S.P.A.";"IT01632650022";"DORECA S.P.A.";"00133/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:06"
"ec975073-7913-417c-a5e9-b9235ee6ff5e";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00003/V1";"2019-01-05 00:00:00";"2019-01-08 16:40:06"
"ecabdd60-c94a-45a5-b8a3-a0a6f3446d90";"IT00155400351";"CDD S.P.A.";"IT11392351000";"RICA GEST S.R.L.";"00478/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:51"
"ecfebabd-fc17-4dbc-9283-02cf7f1f0fac";"IT00155400351";"CDD S.P.A.";"IT04916380159";"ESSELUNGA S.P.A.";"00570/V1";"2019-01-31 00:00:00";"2019-02-04 18:07:12"
"ed08b0ea-8c92-4777-97b9-4c174b780a52";"IT00155400351";"CDD S.P.A.";"IT01620960763";"QUI DISCOUNT S.P.A.";"07477/V1";"2018-12-28 00:00:00";"2019-01-03 11:18:04"
